3.3813	3.7628	24.0
6.6323	7.1841	27.0
10.9065	11.8437	22.0
11.3856	13.0115	21.0
13.5118	14.3133	29.0
15.1534	16.2461	24.0
17.9946	18.6008	99.0
22.1907	22.989	2.0
22.9927	23.8909	29.0
29.6666	30.4245	99.0
31.7223	32.3502	99.0
32.267	32.9576	24.0
33.7026	34.7564	29.0
42.354	43.8195	8.0
43.935	44.3757	22.0
44.7076	45.8172	20.0
46.3002	47.0048	99.0
47.027	47.9426	99.0
50.8754	53.4583	29.0
56.9667	57.8627	99.0
72.092	73.0647	99.0
77.6416	78.4835	31.0
82.9649	83.942	7.0
89.4809	90.7355	99.0
93.7462	94.5903	31.0
95.752	97.661	99.0
97.0003	97.644	17.0
98.7269	100.0344	99.0
100.0364	100.8334	29.0
105.6962	106.1634	99.0
110.965	113.7085	29.0
115.177	116.1709	31.0
115.3943	116.0379	99.0
119.2411	121.1481	8.0
121.866	122.4926	2.0
125.1367	125.6927	99.0
128.902	129.7298	29.0
135.5461	136.5745	8.0
136.5977	137.4698	17.0
142.9742	145.1634	12.0
149.8424	150.5522	31.0
158.117	159.3481	99.0
166.1484	167.3403	21.0
176.4323	178.2559	99.0
177.2042	177.5872	31.0
186.6435	187.6849	99.0
200.1583	200.8359	31.0
202.9823	205.0691	20.0
206.4604	208.1676	8.0
209.7248	210.5751	31.0
220.3773	221.0653	29.0
241.7236	243.6721	99.0
244.0657	245.0604	8.0
245.1996	247.6734	99.0
260.0152	261.0154	99.0
269.3659	271.1258	12.0
271.1429	272.127	99.0
274.9669	276.1921	20.0
275.4411	275.9397	2.0
282.214	283.7702	8.0
299.0569	301.3764	20.0
320.1762	321.2466	99.0
332.2392	334.5033	99.0
341.4219	344.8448	29.0
350.6212	351.0068	29.0
350.7511	351.3233	31.0
361.8152	363.0068	8.0
376.013	376.8189	31.0
379.2435	381.4298	99.0
384.6949	385.736	99.0
389.7198	391.6566	31.0
