3.3885	6.0798	11.0
6.2746	6.8644	8.0
7.2546	8.4442	12.0
8.7801	10.3545	26.0
10.6029	12.0936	22.0
19.6648	20.872	4.0
20.8727	23.0267	12.0
23.4649	25.5508	11.0
25.5527	29.7519	11.0
29.8093	31.4016	11.0
33.0481	34.1496	99.0
35.2885	38.3437	12.0
38.3873	40.1732	11.0
42.016	45.2295	11.0
49.9616	51.6474	11.0
51.5344	53.3652	12.0
55.1046	56.2438	11.0
56.7852	60.0086	12.0
79.9879	81.1502	99.0
101.5824	107.3224	20.0
131.4913	131.9543	2.0
141.7168	142.9538	27.0
141.8061	143.357	20.0
143.3589	146.0761	20.0
151.6119	152.9584	20.0
162.3691	162.8944	2.0
176.3927	177.7884	29.0
182.2417	182.9722	31.0
221.8628	223.5223	29.0
238.876	241.1583	20.0
